descritor,modelo,acuracia_balanceada,f1,auc_roc,auc_pr
baseline_trivial,DummyClassifier,0.5,0.6463,0.5,
LBP,SVM_RBF,0.6600708502024291,0.6905829596412556,0.7097165991902834,0.6398719212286423
HOG,SVM_RBF,0.7001518218623481,0.7,0.7298582995951417,0.6502775906362812
Hu_Moments,SVM_RBF,0.5817813765182186,0.6351931330472103,0.6227732793522268,0.5722407456009319
HOG,Random_Forest_CV_otimizado,0.7001518218623481,0.7,0.7537449392712551,0.6895074455542344
HOG,Random_Forest,0.720748987854251,0.7227722772277227,0.7572874493927125,0.6940184259892301
HOG,kNN,0.659412955465587,0.6565656565656566,0.6867914979757085,0.6039723063330992
